game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,respond,game_chats
LgnuXgz5,TRUE,0,Control,860.972,resign,white,chess4gerry,6.42,14.41,14.91,6.72,83,-6.84202E+18,Paradigma1013,maia,1442,84,3,3,45,2,1457,81,4,5,66,2,FALSE,"[]
"
Lgpfc4wD,TRUE,1,Placebo,364.417,mate,white,chess4gerry,5.65,13.72,13.58,4.96,37,1.82182E+18,MazzSant_MC,opp,1483,38,2,1,153,4,1379,71,2,2,106,5,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""bananas are berries"",""user"":""chess4gerry""},{""text"":""i like swimming"",""user"":""chess4gerry""},{""text"":""i have to go to the grocery store after this"",""user"":""chess4gerry""}]
"
LHxWiHfM,TRUE,0,Control,205.478,outoftime,white,chess4gerry,7.41,60,72.84,9.84,21,7.06243E+18,Jgtorres1,maia,1453,72,1,1,43,1,1463,54,1,2,125,1,FALSE,"[]
"
lm30yFlB,TRUE,1,Chatty,514.807,mate,black,chess4gerry,5.59,8.78,9.15,1.92,71,-5.66925E+17,Romanoski,maia,1447,89,1,0,28,4,1472,62,1,0,49,3,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
LnBAW3tG,TRUE,0,Control,228.591,draw,black,chess4gerry,4.78,4.36,4.65,8,47,-6.72333E+18,Prerepod,draw,1445,75,2,0,56,2,1448,66,2,2,79,1,FALSE,"[]
"
lWUyhHUV,TRUE,1,Chatty,871.321,mate,black,chess4gerry,5.79,6.09,6.24,8.16,142,6.05534E+18,AmmarHindawe,opp,1475,68,2,0,37,4,1461,90,2,1,29,2,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
LXveMwrW,TRUE,1,Chatty,583.604,stalemate,black,chess4gerry,6.16,6.05,6.26,5.6,94,3.85422E+18,kpskvk,opp,1502,78,4,2,59,2,1492,82,5,4,59,8,TRUE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""thanks"",""user"":""kpskvk""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""},{""text"":""wow"",""user"":""kpskvk""}]
"
lzqj010z,TRUE,1,Chatty,191.884,resign,white,chess4gerry,6.25,7.82,8.05,2,27,-5.92869E+18,FerchoMX,maia,1448,88,0,1,38,1,1503,70,1,1,91,1,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""}]
"
mA7QZLuO,TRUE,1,Chatty,449.434,resign,white,chess4gerry,6.84,8.82,9.41,8.08,57,-3.86706E+18,TheJifa,maia,1491,90,0,1,23,4,1449,73,1,1,44,2,TRUE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""gl"",""user"":""thejifa""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
ME2JWJie,TRUE,0,Control,758.622,mate,black,chess4gerry,5.91,20.28,21.55,7.76,57,3.87885E+18,mhc_chess,maia,1452,93,1,2,39,1,1443,80,2,2,77,3,FALSE,"[]
"
